Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0001654,eye development,19_GO:0032502 developmental process,-2.4,9.2,4.7,30286,381,26,3,12,6.3,1295|6659|6662,COL8A1|SOX4|SOX9,0,MyList
GO Biological Processes,19,GO:0150063,visual system development,19_GO:0032502 developmental process,-2.4,9.1,4.7,30286,385,26,3,12,6.3,1295|6659|6662,COL8A1|SOX4|SOX9,0,MyList
GO Biological Processes,19,GO:0048880,sensory system development,19_GO:0032502 developmental process,-2.4,8.9,4.6,30286,391,26,3,12,6.3,1295|6659|6662,COL8A1|SOX4|SOX9,0,MyList
GO Biological Processes,19,GO:2000146,negative regulation of cell motility,19_GO:0040011 locomotion,-2.3,8.8,4.6,30286,396,26,3,12,6.3,4070|23213|84978,TACSTD2|SULF1|FRMD5,0,MyList
GO Biological Processes,19,GO:0050678,regulation of epithelial cell proliferation,19_GO:0050789 regulation of biological process,-2.3,8.6,4.5,30286,407,26,3,12,6.3,4070|6662|23213,TACSTD2|SOX9|SULF1,0,MyList
GO Biological Processes,19,GO:0043254,regulation of protein-containing complex assembly,19_GO:0050789 regulation of biological process,-2.3,8.4,4.4,30286,418,26,3,12,6.3,4233|6662|22943,MET|SOX9|DKK1,0,MyList
GO Biological Processes,19,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,19_GO:0050896 response to stimulus,-2.3,8.3,4.4,30286,419,26,3,12,6.3,4233|6662|23213,MET|SOX9|SULF1,0,MyList
GO Biological Processes,19,GO:0031400,negative regulation of protein modification process,19_GO:0048519 negative regulation of biological process,-2.2,8.2,4.4,30286,426,26,3,12,6.3,6659|9052|22943,SOX4|GPRC5A|DKK1,0,MyList
GO Biological Processes,19,GO:0040013,negative regulation of locomotion,19_GO:0040011 locomotion,-2.2,8.1,4.4,30286,431,26,3,12,6.3,4070|23213|84978,TACSTD2|SULF1|FRMD5,0,MyList
GO Biological Processes,19,GO:0048514,blood vessel morphogenesis,19_GO:0032502 developmental process,-2.2,8.1,4.4,30286,431,26,3,12,6.3,1295|2335|6659,COL8A1|FN1|SOX4,0,MyList
GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-2.2,7.6,4.2,30286,458,26,3,12,6.3,4070|4233|6662,TACSTD2|MET|SOX9,0,MyList
Reactome Gene Sets,6,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,,-2.2,7.6,4.2,30286,459,26,3,12,6.3,2335|4233|22943,FN1|MET|DKK1,0,MyList
GO Biological Processes,19,GO:0022407,regulation of cell-cell adhesion,19_GO:0050789 regulation of biological process,-2.1,7,4,30286,496,26,3,12,6.3,4680|6659|27242,CEACAM6|SOX4|TNFRSF21,0,MyList
GO Biological Processes,19,GO:0044089,positive regulation of cellular component biogenesis,19_GO:0048518 positive regulation of biological process,-2,6.9,3.9,30286,507,26,3,12,6.3,4233|6662|7162,MET|SOX9|TPBG,0,MyList
WikiPathways,27,WP5434,Pathways in cancer,,-2,6.9,3.9,30286,509,26,3,12,6.3,2335|3918|4233,FN1|LAMC2|MET,0,MyList
