_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-5.6,M41648,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG CLUB CELL,,-5.6,41,13,30286,114,26,4,15,7.1,4233|4680|6659|9052,MET|CEACAM6|SOX4|GPRC5A,-2.4,0
1,-4.9,M40012,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC IMMATURE PIT CELLS,,-4.9,28,10,30286,165,26,4,15,7.1,4070|6277|6286|135656,TACSTD2|S100A6|S100P|MUCL3,-2,0
1,-4.5,M39302,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART C5 VALVAR CELL,,-4.5,22,9.1,30286,208,26,4,15,7.1,6277|6659|6662|7162,S100A6|SOX4|SOX9|TPBG,-1.7,0
1,-4.4,M39209,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-4.4,9.1,6.7,30286,765,26,6,23,8.3,1301|2335|6662|7162|9052|23213,COL11A1|FN1|SOX9|TPBG|GPRC5A|SULF1,-1.6,0
1,-4.4,M40010,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC ISTHMUS CELLS,,-4.4,13,7.4,30286,458,26,5,19,7.7,4070|6277|6286|25825|135656,TACSTD2|S100A6|S100P|BACE2|MUCL3,-1.6,0
1,-4.4,M40273,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL PANCREAS MESOTHELIAL CELLS,,-4.4,44,11,30286,79,26,3,12,6.3,1295|1301|9052,COL8A1|COL11A1|GPRC5A,-1.6,0
1,-4.1,M39211,M1,1,0,Cell Type Signatures,7,ZHENG CORD BLOOD C2 PUTATIVE BASOPHIL EOSINOPHIL MAST CELL PROGENITOR,,-4.1,36,10,30286,96,26,3,12,6.3,6277|6659|25825,S100A6|SOX4|BACE2,-1.5,0
1,-4.1,M39228,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C9 THIN ASCENDING LIMB,,-4.1,17,7.9,30286,268,26,4,15,7.1,3855|4070|4233|6277,KRT7|TACSTD2|MET|S100A6,-1.5,0
1,-4,M39271,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA RPE,,-4,16,7.5,30286,292,26,4,15,7.1,1295|4233|23213|25825,COL8A1|MET|SULF1|BACE2,-1.3,0
1,-3.9,M40220,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL KIDNEY URETERIC BUD CELLS,,-3.9,16,7.4,30286,300,26,4,15,7.1,3855|4070|6286|23650,KRT7|TACSTD2|S100P|TRIM29,-1.3,0
1,-3.7,M41662,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG ARTERY CELL,,-3.7,27,8.6,30286,131,26,3,12,6.3,2335|6659|23213,FN1|SOX4|SULF1,-1.2,0
1,-3.7,M41679,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG MESOTHELIAL CELL,,-3.7,9,6,30286,649,26,5,19,7.7,6277|7162|22943|23213|27242,S100A6|TPBG|DKK1|SULF1|TNFRSF21,-1.1,0
1,-3.7,M39229,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C10 THIN ASCENDING LIMB,,-3.7,13,6.8,30286,353,26,4,15,7.1,3855|4070|6277|25825,KRT7|TACSTD2|S100A6|BACE2,-1.1,0
1,-3.6,M39322,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART VALVAR ENDOTHELIAL CELL,,-3.6,25,8.3,30286,141,26,3,12,6.3,2153|6277|7162,F5|S100A6|TPBG,-1.1,0
1,-3.6,M41655,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG GOBLET CELL,,-3.6,24,8.1,30286,148,26,3,12,6.3,3855|6286|25825,KRT7|S100P|BACE2,-1.1,0
1,-3.2,M39303,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART C6 EPICARDIAL CELL,,-3.2,18,6.9,30286,195,26,3,12,6.3,3855|6277|23213,KRT7|S100A6|SULF1,-0.82,0
1,-3.2,M40292,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN MESOTHELIAL CELLS,,-3.2,18,6.9,30286,195,26,3,12,6.3,1295|3855|23213,COL8A1|KRT7|SULF1,-0.82,0
1,-2.9,M39056,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HRGL3,,-2.9,8.1,5,30286,574,26,4,15,7.1,1295|2153|6662|23213,COL8A1|F5|SOX9|SULF1,-0.56,0
1,-2.8,M41689,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG BASOPHIL MAST 1 CELL,,-2.8,13,5.7,30286,276,26,3,12,6.3,6659|25825|27242,SOX4|BACE2|TNFRSF21,-0.49,0
1,-2.8,M39227,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C8 DECENDING THIN LIMB,,-2.8,13,5.7,30286,278,26,3,12,6.3,4070|4233|6277,TACSTD2|MET|S100A6,-0.48,0
1,-2.6,M39175,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-2.6,6.9,4.5,30286,680,26,4,15,7.1,1295|2335|7162|23213,COL8A1|FN1|TPBG|SULF1,-0.35,0
1,-2.4,M39231,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-2.4,9.2,4.7,30286,381,26,3,12,6.3,4070|6277|25825,TACSTD2|S100A6|BACE2,-0.18,0
1,-2.4,M39264,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA FIBROBLAST,,-2.4,9.1,4.7,30286,385,26,3,12,6.3,2335|7162|23213,FN1|TPBG|SULF1,-0.17,0
1,-2.2,M39203,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NEUTROPHIL,,-2.2,7.8,4.2,30286,449,26,3,12,6.3,2153|6277|6286,F5|S100A6|S100P,-0.023,0
